CGMP;Nome;Longitude;Latitude
6354;Posto Shell Azulao;-46.7101631164551;-23.5735836029053
6355;Posto Shell Quinta Avenida;-46.6548271179199;-23.5546283721924
6356;Posto Shell Agronomia;-47.6326675415039;-22.7151947021484
6357;Posto Shell Rede Senna;-46.40539;-23.43251
6358;Posto Shell Lince Taubate;-45.5460968017578;-23.0034656524658
6359;Posto Shell Avenida Brasil;-47.3482666015625;-22.7525367736816
6360;Posto Shell Itarare Sao Vicente;-46.3973197937012;-23.9616088867188
6361;Posto Shell Retiro;-46.9130935668945;-23.1786231994629
6362;Posto Shell Garcia de Campinas;-47.1125144958496;-22.8885478973389
6363;Posto Shell Fantinato;-47.1491241455078;-22.766773223877
6364;Posto Shell Alpes;-45.5567436218262;-23.0322513580322
6365;Posto Shell Varsovia;-45.8823585510254;-23.2433185577393
6366;Posto Shell Restaurante 3 Vias;-47.1512985229492;-22.8558254241943
6367;Posto Shell Maricar;-46.6556015014648;-23.4816875457764
6373;Posto Shell Sabella e Sabella;-46.548900604248;-22.9153785705566
6374;Posto Shell Virgilio Fernando;-46.5908584594727;-23.5127143859863
6377;Posto Shell Guigui;-46.5367851257324;-23.6539268493652
6378;Posto Shell Dias;-46.5267448425293;-23.6718807220459
6379;Posto Shell Sabella;-46.5357208251953;-22.9417514801025
6383;Posto Shell Bandeirante;-45.8857383728027;-23.200475692749
6384;Posto Shell Sete Estrelas;-46.7468452453613;-23.5069351196289
6385;Posto Shell Bruno Alves Portero;-46.5613708496094;-23.5436305999756
6387;Posto Shell Panamericano;-46.7357902526855;-23.4447898864746
6389;Posto Shell Nelson Scorsolini;-47.7727127075195;-21.211181640625
6390;Posto Shell Fera de Itapevi;-46.9360961914063;-23.5532131195068
6391;Posto Shell Jundiai Mirim;-46.8735656738281;-23.1527824401855
6392;Posto Shell Ceiba Speciosa;-47.285587310791;-23.2628803253174
6393;Posto Shell Castelinho de Sorocaba;-47.3594131469727;-23.4261665344238
6395;Posto Shell Scofano e Scofano;-45.5999870300293;-22.7442855834961
6396;Posto Shell Universitario Sao Carlos;-47.8983001708984;-22.008752822876
6397;Posto Shell Mixam;-51.3978500366211;-22.1396102905273
6398;Posto Shell Mediani Pires;-49.3665084838867;-20.8251342773438
6399;Posto Shell Bela Cintra;-46.6583137512207;-23.5534362792969
6400;Posto Shell Rio Claro Center Shopping;-47.5562324523926;-22.4112205505371
6401;Posto Shell Itaipu Bassit;-49.4026565551758;-20.8238735198975
6402;Posto Shell Primavera Murchid;-49.3658294677734;-20.8273334503174
6403;Posto Shell Quinta do Golfe;-49.404956817627;-20.831563949585
6404;Posto Shell Atarumin;-49.3936424255371;-20.7923984527588
6405;Posto Shell Guaruja Andalo;-49.3850555419922;-20.8229732513428
6406;Posto Shell Axr;-49.3925590515137;-20.8228416442871
6407;Posto Shell Petro Bady;-49.3955612182617;-20.8177738189697
6408;Posto Shell Avenida de Itatiba;-46.8481254577637;-22.9981727600098
6410;Posto Shell Carrossel;-46.5316505432129;-23.4745712280273
